scenario_id,category,label,model_id,input_length,auto_adapt,success,error,mae,rmse,latency_ms,ablation
Y4,Y,Y4-复合漂移(部分可见),Auto,256,True,False,"API request failed: 429 Too Many Requests - Daily API call limit exceeded (limit: 150 per day, used: 150)",,,86.66679199814098,False
Y4,Y,Y4-复合漂移(部分可见),Auto,256,True,True,,21.383221484375,25.13990101457522,186.22716599929845,False
Y4,Y,Y4-复合漂移(部分可见),Timer-3.5,256,True,True,,21.383221484375,25.13990101457522,178.86108299717307,False
Y4,Y,Y4-复合漂移(部分可见),Timer-3.0,256,True,True,,19.17897266578674,22.543385730766648,153.91200000158278,False
Y4,Y,Y4-复合漂移(部分可见),Chronos-2,256,True,True,,13.521663256359101,15.64984218867126,125.90754199845833,False
Y4,Y,Y4-复合漂移(部分可见),AutoARIMA,256,True,True,,7.595566066169739,9.411768217664054,1402.2090830003435,False
Y4,Y,Y4-复合漂移(部分可见),Holt-Winters,256,True,True,,24.620906750774385,27.640823390677973,104.67666600015946,False
Y4,Y,Y4-复合漂移(部分可见),Auto,512,True,True,,21.363555988883974,24.282237751403958,201.44020799853024,False
Y4,Y,Y4-复合漂移(部分可见),Timer-3.5,512,True,True,,21.363555988883974,24.282237751403958,196.941207999771,False
Y4,Y,Y4-复合漂移(部分可见),Timer-3.0,512,True,True,,15.264859222888948,17.881770249143113,166.26874999928987,False
Y4,Y,Y4-复合漂移(部分可见),Chronos-2,512,True,True,,11.954945797252655,13.881549944285348,130.20170900199446,False
Y4,Y,Y4-复合漂移(部分可见),AutoARIMA,512,True,True,,10.604907903671265,12.520456098290678,2890.931249999994,False
Y4,Y,Y4-复合漂移(部分可见),Holt-Winters,512,True,True,,26.04633840045929,29.015786090020626,127.79845799741452,False
Z1,Z,Z1-均值平移(协变量传递),Auto,96,True,True,,15.575918284797668,15.70910814686035,114.40037500142353,False
Z1,Z,Z1-均值平移(协变量传递),Chronos-2,96,True,True,,15.476502326869964,15.593227397916596,114.64370800240431,False
Z1,Z,Z1-均值平移(协变量传递),AutoARIMA,96,True,True,,16.638762859249113,16.869724880459284,917.5908329998492,False
Z1,Z,Z1-均值平移(协变量传递),Holt-Winters,96,True,True,,9.904464958572389,11.049005007850173,100.48191600071732,False
Z1,Z,Z1-均值平移(协变量传递),Auto,256,True,True,,15.030036596202851,15.154364066848903,128.68645799972,False
Z1,Z,Z1-均值平移(协变量传递),Chronos-2,256,True,True,,15.163211194419862,15.283556694084629,128.11916699865833,False
Z1,Z,Z1-均值平移(协变量传递),AutoARIMA,256,True,True,,18.682443586730955,18.800625941467985,1343.8446250002016,False
Z1,Z,Z1-均值平移(协变量传递),Holt-Winters,256,True,True,,9.934692262077332,11.128414092637026,120.45258299986017,False
Z1,Z,Z1-均值平移(协变量传递),Auto,512,True,True,,14.907285837078096,15.031776883862197,130.405416002759,False
Z1,Z,Z1-均值平移(协变量传递),Chronos-2,512,True,True,,15.008322385692598,15.128452391186373,136.87108299927786,False
Z1,Z,Z1-均值平移(协变量传递),AutoARIMA,512,True,True,,21.72771200313568,22.093342238729527,4095.3730829969572,False
Z1,Z,Z1-均值平移(协变量传递),Holt-Winters,512,True,True,,9.941597460174561,11.14552876217697,135.08641699809232,False
Z2,Z,Z2-均值平移(协变量+部分可见),Auto,96,True,True,,2.5639475570678716,3.1971416150614993,104.27387500021723,False
Z2,Z,Z2-均值平移(协变量+部分可见),Chronos-2,96,True,True,,2.1937612888336178,2.7931967575280905,123.91479199868627,False
Z2,Z,Z2-均值平移(协变量+部分可见),AutoARIMA,96,True,True,,11.652488789558411,13.899093414176848,982.8312499994354,False
Z2,Z,Z2-均值平移(协变量+部分可见),Holt-Winters,96,True,True,,17.427885151672363,20.478305399147203,104.1104579999228,False
Z2,Z,Z2-均值平移(协变量+部分可见),Auto,256,True,True,,1.804145928096771,2.275885332874234,130.23837500077207,False
Z2,Z,Z2-均值平移(协变量+部分可见),Chronos-2,256,True,True,,2.1033938344955443,2.632421400750932,126.15716699656332,False
Z2,Z,Z2-均值平移(协变量+部分可见),AutoARIMA,256,True,True,,13.295043301773072,15.835676253528591,1688.0739170010202,False
Z2,Z,Z2-均值平移(协变量+部分可见),Holt-Winters,256,True,True,,17.74810269699097,20.75860082530733,200.9347089988296,False
Z2,Z,Z2-均值平移(协变量+部分可见),Auto,512,True,True,,4.130072091865539,5.156883909775584,245.2335839989246,False
Z2,Z,Z2-均值平移(协变量+部分可见),Chronos-2,512,True,True,,3.9466066816329954,4.924388284492634,244.32870899909176,False
Z2,Z,Z2-均值平移(协变量+部分可见),AutoARIMA,512,True,True,,9.557177726936342,11.56698785231194,3446.2683749989083,False
Z2,Z,Z2-均值平移(协变量+部分可见),Holt-Winters,512,True,True,,17.80054477081299,20.804176367286427,227.26233300272725,False
Y4,Y,Y4-复合漂移(部分可见),Auto,96,False,True,,15.745405349731445,18.178574165858752,163.58995900009177,True
